ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
66963,-37.777868000217104,144.94181800033328,0.391,Low,-37.778,144.942
68866,-37.77898899968537,144.9402160005893,3.715,Low,-37.779,144.94
69097,-37.778598999857415,144.94021599966462,18.573,Medium,-37.779,144.94
69159,-37.77844400010007,144.94009299968926,0.0,Low,-37.778,144.94
69214,-37.7782969996893,144.94000600054085,41.74,High,-37.778,144.94
67780,-37.78131600021019,144.94118199958032,0.489,Low,-37.781,144.941
71102,-37.77710399976487,144.9384489995242,4.497,Low,-37.777,144.938
70225,-37.7781489998414,144.93896699970333,21.603,Medium,-37.778,144.939
69880,-37.778407999534856,144.9394380005116,10.459,Medium,-37.778,144.939
71239,-37.77684799967663,144.93874400042017,16.129,Medium,-37.777,144.939
67853,-37.781537999888606,144.94114700016723,2.835,Low,-37.782,144.941
67313,-37.779231000173965,144.94157400019697,11.828,Medium,-37.779,144.942
67451,-37.77979600025997,144.94147399974997,10.166,Medium,-37.78,144.941
69983,-37.77841000014977,144.93943800058935,10.459,Medium,-37.778,144.939
69492,-37.77840100007495,144.93943799959695,10.459,Medium,-37.778,144.939
71568,-37.77738000009876,144.94009399994465,1.466,Low,-37.777,144.94
72875,-37.777210999829165,144.9383699998903,13.587,Medium,-37.777,144.938
72920,-37.77683500027699,144.93952900048257,2.248,Low,-37.777,144.94
75497,-37.77929900005155,144.9415579995086,2.639,Low,-37.779,144.942
75526,-37.77925000000423,144.94146300030397,0.293,Low,-37.779,144.941
75534,-37.77923699977814,144.94143300020195,0.098,Low,-37.779,144.941
72296,-37.778525999819365,144.9394989995289,14.858,Medium,-37.779,144.939
72060,-37.778782999560754,144.9404409998998,10.85,Medium,-37.779,144.94
72082,-37.77880599975916,144.94033799953016,0.978,Low,-37.779,144.94
72395,-37.77839000004361,144.9393259999193,1.564,Low,-37.778,144.939
72470,-37.77825500010258,144.93913799963153,9.384,Low,-37.778,144.939
73676,-37.77779600004001,144.9410220003965,3.324,Low,-37.778,144.941
72179,-37.77876200020576,144.93991100058977,1.369,Low,-37.779,144.94
74641,-37.77623900010976,144.9413069996952,4.106,Low,-37.776,144.941
74916,-37.77713099974201,144.94111600014745,7.038,Low,-37.777,144.941
73469,-37.775580999559736,144.93905900045232,1.857,Low,-37.776,144.939
73476,-37.77558099980113,144.93902600036003,1.662,Low,-37.776,144.939
71920,-37.77841299991933,144.94082800018626,11.437,Medium,-37.778,144.941
73319,-37.77572900034766,144.93975800028846,18.377,Medium,-37.776,144.94
74729,-37.7765089997883,144.94123500007169,7.625,Low,-37.777,144.941
76827,-37.78707299974025,144.95116899954243,0.782,Low,-37.787,144.951
76162,-37.77817099950871,144.93913300027958,6.843,Low,-37.778,144.939
79134,-37.78371100012296,144.95473500046967,0.782,Low,-37.784,144.955
76958,-37.78687000011424,144.95143899981954,2.542,Low,-37.787,144.951
